Security Name,Average Price,Total Units,Original Cost,Current Market Value,Profit/Loss,Current Price,Security Symbol
ETHOS LIMITED,3021.55,31,93761.59,97267.15,3505.56,3137.65,ETHOSLTD
VARUN BEVERAGES LIMITED,1582.44,93,147314.05,146568.00,-746.05,1576.00,VBL
DOMS INDUSTRIES LIMITED,2439.10,63,153816.53,163393.65,9577.12,2593.55,DOMS
DIXON TECHNO (INDIA) LTD,12847.40,15,192903.52,200901.75,7998.23,13393.45,DIXON
GARWARE HI-TECH FILMS LTD,3302.60,15,49588.46,48847.50,-740.96,3256.50,GRWRHITECH
GODREJ PROPERTIES LTD,2930.55,119,349083.48,343636.29,-5447.19,2887.70,GODREJPROP
INTERGLOBE AVIATION LTD,4481.51,69,309532.97,325686.91,16153.94,4720.10,INDIGO
LT FOODS LIMITED,346.81,424,147192.93,157388.81,10195.88,371.20,LTFOODS
MULTI COMMODITY EXCHANGE,4784.46,52,249040.62,253830.21,4789.59,4881.35,MCX
NAVKAR CORPORATION LTD.,150.95,344,51978.89,54352.00,2373.11,158.00,NAVKARCORP
NETWEB TECH INDIA LTD,2488.74,39,97157.99,104822.25,7664.26,2687.75,NETWEB
NUVAMA WEALTH MANAGE LTD,6240.00,39,243603.14,246090.00,2486.86,6310.00,NUVAMA
PB FINTECH LIMITED,1695.36,59,100125.99,107341.65,7215.66,1819.35,POLICYBZR
PG ELECTROPLAST LTD,553.34,190,105240.02,99018.50,-6221.52,521.15,PGEL
POLYCAB INDIA LIMITED,6827.50,44,300710.18,297726.00,-2984.18,6766.50,POLYCAB
PRESTIGE ESTATE LTD,1746.40,143,249984.54,251901.66,1917.12,1761.55,PRESTIGE
REDTAPE LIMITED,703.45,217,152801.58,153006.69,205.11,705.10,REDTAPE
SAMVRDHNA MTHRSN INTL LTD,193.67,516,100035.86,102142.20,2106.34,197.95,MOTHERSON
TIPS INDUSTRIES LIMITED,719.85,239,172216.91,175987.64,3770.73,736.35,TIPSINDLTD
UNO MINDA LIMITED,1144.26,85,97359.22,93347.00,-4012.22,1098.20,UNOMINDA
ZOMATO LIMITED,258.28,1538,397625.91,398941.84,1315.93,259.39,ZOMATO
